Article,FakeNews
Medical innovations reduce patient risk,0
Cloud computing adoption grows rapidly,0
Time traveler wins lottery repeatedly,1
New machine learning model released,0
Doctors discover treatment breakthrough,0
Health organizations publish new study,0
Moon made entirely of gold scientists say,1
Financial markets experience volatility,0
Banks report strong quarterly profits,0
Investors remain optimistic about economy,0
Invisible dragons found in city center,1
Artificial Intelligence transforms industries,0
Drinking oil cures every disease instantly,1
Financial markets experience volatility,0
Aliens control world governments secretly,1
Cloud computing adoption grows rapidly,0
Healthcare technology continues improving,0
Invisible dragons found in city center,1
Moon made entirely of gold scientists say,1
Invisible dragons found in city center,1
Aliens control world governments secretly,1
Health organizations publish new study,0
Health organizations publish new study,0
New machine learning model released,0
Aliens control world governments secretly,1
Drinking oil cures every disease instantly,1
Stock market closes higher today,0
Financial markets experience volatility,0
Banks report strong quarterly profits,0
Invisible dragons found in city center,1
Medical innovations reduce patient risk,0
Cloud computing adoption grows rapidly,0
Stock market closes higher today,0
Drinking oil cures every disease instantly,1
Invisible dragons found in city center,1
Investors remain optimistic about economy,0
Time traveler wins lottery repeatedly,1
Healthcare technology continues improving,0
Banks report strong quarterly profits,0
Investors remain optimistic about economy,0
Banks report strong quarterly profits,0
Banks report strong quarterly profits,0
Quantum computing breakthrough announced,0
Time traveler wins lottery repeatedly,1
Financial markets experience volatility,0
Drinking oil cures every disease instantly,1
Cybersecurity threats increase worldwide,0
Invisible dragons found in city center,1
Artificial Intelligence transforms industries,0
Quantum computing breakthrough announced,0
Artificial Intelligence transforms industries,0
New vaccine research shows promise,0
Aliens control world governments secretly,1
Moon made entirely of gold scientists say,1
New vaccine research shows promise,0
Moon made entirely of gold scientists say,1
New vaccine research shows promise,0
Health organizations publish new study,0
Investors remain optimistic about economy,0
Cybersecurity threats increase worldwide,0
New vaccine research shows promise,0
Invisible dragons found in city center,1
Stock market closes higher today,0
Time traveler wins lottery repeatedly,1
Medical innovations reduce patient risk,0
Moon made entirely of gold scientists say,1
New vaccine research shows promise,0
Health organizations publish new study,0
Doctors discover treatment breakthrough,0
Quantum computing breakthrough announced,0
Interest rates remain unchanged,0
New machine learning model released,0
Banks report strong quarterly profits,0
Cloud computing adoption grows rapidly,0
New vaccine research shows promise,0
